Date,Antigen Positive Cases by Specimen Date,Deaths by Date of Death,Cases by Report Date,Molecular (PCR) Positive Cases by Specimen Date
3/24/2020,1,1,101,175
3/25/2020,0,1,106,198
3/26/2020,0,1,132,197
3/27/2020,0,1,128,167
3/28/2020,1,1,171,99
3/29/2020,0,4,232,75
3/30/2020,0,2,140,210
3/31/2020,0,3,191,212
4/1/2020,0,9,86,239
4/2/2020,0,3,273,222
4/3/2020,0,11,236,203
4/4/2020,0,11,309,114
4/5/2020,0,9,183,86
4/6/2020,0,4,285,399
4/7/2020,1,9,351,263
4/8/2020,0,9,205,284
4/9/2020,0,10,225,327
4/10/2020,0,7,257,317
4/11/2020,0,9,404,172
4/12/2020,0,18,208,112
4/13/2020,0,17,296,282
4/14/2020,0,16,208,284
4/15/2020,1,23,99,376
4/16/2020,0,26,342,541
4/17/2020,0,14,394,258
4/18/2020,0,19,281,139
4/19/2020,1,15,353,120
4/20/2020,0,18,271,438
4/21/2020,0,20,187,463
4/22/2020,0,13,269,437
4/23/2020,0,17,388,506
4/24/2020,0,16,444,575
4/25/2020,0,21,571,254
4/26/2020,0,24,207,120
4/27/2020,0,15,312,559
4/28/2020,0,15,426,433
4/29/2020,0,19,380,436
4/30/2020,0,14,561,461
5/1/2020,0,17,414,449
5/2/2020,0,13,586,182
5/3/2020,0,19,155,172
5/4/2020,0,18,184,688
5/5/2020,0,25,408,551
5/6/2020,0,12,502,713
5/7/2020,1,19,639,620
5/8/2020,0,19,471,543
5/9/2020,0,11,492,193
5/10/2020,0,25,404,117
5/11/2020,0,15,281,765
5/12/2020,0,18,301,679
5/13/2020,0,14,470,711
5/14/2020,0,13,691,758
5/15/2020,1,8,622,703
5/16/2020,0,11,853,285
5/17/2020,0,15,530,193
5/18/2020,0,12,511,1062
5/19/2020,1,19,677,964
5/20/2020,0,15,423,836
5/21/2020,0,18,738,862
5/22/2020,1,20,758,745
5/23/2020,0,21,1107,340
5/24/2020,0,19,497,258
5/25/2020,0,32,742,369
5/26/2020,2,28,176,1363
5/27/2020,1,25,488,991
5/28/2020,0,19,784,1016
5/29/2020,0,20,1076,1112
5/30/2020,0,19,1185,443
5/31/2020,0,21,916,332
6/1/2020,0,17,674,1505
6/2/2020,2,21,626,1263
6/3/2020,1,19,888,1436
6/4/2020,2,10,1190,1344
6/5/2020,2,21,1289,1319
6/6/2020,0,17,1370,482
6/7/2020,1,13,921,434
6/8/2020,0,21,938,1654
6/9/2020,0,13,676,1547
6/10/2020,1,12,1011,1445
6/11/2020,1,12,1310,1430
6/12/2020,0,12,1768,1435
6/13/2020,2,21,1429,684
6/14/2020,1,23,1444,545
6/15/2020,0,8,983,1690
6/16/2020,1,9,751,1582
6/17/2020,2,13,1002,1707
6/18/2020,3,16,1335,1765
6/19/2020,5,17,1655,1611
6/20/2020,1,12,1549,757
6/21/2020,0,20,1412,698
6/22/2020,4,9,805,2026
6/23/2020,9,18,854,2079
6/24/2020,10,12,1724,1893
6/25/2020,9,17,1024,1947
6/26/2020,18,15,1649,1953
6/27/2020,0,12,1720,934
6/28/2020,1,12,1605,1038
6/29/2020,17,17,1349,2506
6/30/2020,13,22,1196,2293
7/1/2020,12,11,1862,2058
7/2/2020,15,12,1639,2019
7/3/2020,9,12,2102,1345
7/4/2020,8,17,1419,581
7/5/2020,4,19,1330,760
7/6/2020,27,19,1563,2517
7/7/2020,23,14,1367,2789
7/8/2020,20,17,1449,2537
7/9/2020,31,12,2059,2147
7/10/2020,28,24,2007,2125
7/11/2020,13,17,2467,981
7/12/2020,5,27,1909,859
7/13/2020,34,13,1846,2465
7/14/2020,58,25,1991,2442
7/15/2020,40,16,1816,2226
7/16/2020,46,22,2191,2075
7/17/2020,31,23,2082,1928
7/18/2020,4,17,2486,960
7/19/2020,6,20,1820,812
7/20/2020,45,31,1291,2325
7/21/2020,66,25,1863,2269
7/22/2020,72,27,2191,1999
7/23/2020,57,31,1945,1819
7/24/2020,55,22,2145,1947
7/25/2020,25,23,2114,869
7/26/2020,18,21,1645,705
7/27/2020,66,32,1685,2115
7/28/2020,72,25,1805,1998
7/29/2020,82,25,1826,1829
7/30/2020,57,32,2411,1795
7/31/2020,50,30,2018,1709
8/1/2020,11,41,1753,773
8/2/2020,21,24,1362,708
8/3/2020,97,24,1388,1902
8/4/2020,56,33,1694,1535
8/5/2020,52,25,1185,1716
8/6/2020,81,24,2049,1467
8/7/2020,35,40,1582,1398
8/8/2020,16,22,1987,716
8/9/2020,14,35,1626,581
8/10/2020,76,33,512,1722
8/11/2020,104,29,1131,1472
8/12/2020,83,32,1308,1502
8/13/2020,78,24,1978,1485
8/14/2020,52,16,1210,1540
8/15/2020,33,27,1662,756
8/16/2020,14,31,1400,629
8/17/2020,121,32,431,1985
8/18/2020,84,40,1336,1969
8/19/2020,84,26,1218,1724
8/20/2020,85,16,2050,1720
8/21/2020,86,27,2075,1757
8/22/2020,44,29,1781,850
8/23/2020,21,28,1490,774
8/24/2020,146,23,1389,2182
8/25/2020,87,30,1446,2014
8/26/2020,84,22,1342,1751
8/27/2020,79,25,2177,1680
8/28/2020,83,28,1479,1545
8/29/2020,36,38,1723,837
8/30/2020,25,25,1952,631
8/31/2020,109,27,1287,1804
9/1/2020,112,31,2209,1613
9/2/2020,85,36,1216,1732
9/3/2020,87,26,1716,1526
9/4/2020,61,22,2121,1246
9/5/2020,32,28,1586,648
9/6/2020,30,27,1099,607
9/7/2020,41,30,1039,717
9/8/2020,121,26,833,1872
9/9/2020,112,21,969,1519
9/10/2020,100,35,1307,1403
9/11/2020,90,28,1610,1257
9/12/2020,34,21,1478,662
9/13/2020,44,24,1220,603
9/14/2020,145,40,948,1717
9/15/2020,125,23,1210,1488
9/16/2020,88,37,1234,1406
9/17/2020,115,33,1632,1277
9/18/2020,123,25,1504,1295
9/19/2020,38,18,1239,666
9/20/2020,36,28,1335,585
9/21/2020,158,31,800,1733
9/22/2020,123,29,1312,1521
9/23/2020,110,25,1101,1458
9/24/2020,149,29,1836,1486
9/25/2020,139,26,1693,1220
9/26/2020,51,26,1759,766
9/27/2020,47,30,1290,635
9/28/2020,300,32,868,2103
9/29/2020,196,32,889,1803
9/30/2020,176,20,1495,1831
10/1/2020,191,17,2277,1814
10/2/2020,176,19,1775,1825
10/3/2020,93,27,2202,985
10/4/2020,61,28,610,815
10/5/2020,294,27,2258,2462
10/6/2020,245,26,1504,2066
10/7/2020,247,26,1711,1912
10/8/2020,215,26,2428,1995
10/9/2020,203,30,2034,1804
10/10/2020,100,28,2321,930
10/11/2020,77,21,1719,898
10/12/2020,323,23,1276,2658
10/13/2020,282,36,1734,2375
10/14/2020,248,23,1926,2113
10/15/2020,284,27,2532,2099
10/16/2020,230,29,2684,2046
10/17/2020,113,35,2102,940
10/18/2020,89,18,2303,844
10/19/2020,350,41,1144,2774
10/20/2020,294,33,1578,2451
10/21/2020,245,35,1842,2459
10/22/2020,283,28,2400,2136
10/23/2020,259,22,2716,2198
10/24/2020,119,37,2584,1072
10/25/2020,99,33,1807,909
10/26/2020,362,30,1643,2976
10/27/2020,254,28,2141,2433
10/28/2020,279,49,2253,2444
10/29/2020,270,41,2885,1982
10/30/2020,221,34,2809,2243
10/31/2020,101,34,2805,1068
11/1/2020,83,42,2057,936
11/2/2020,404,40,1336,3108
11/3/2020,304,30,2349,2648
11/4/2020,257,33,2425,2596
11/5/2020,285,33,2859,2582
11/6/2020,290,35,2908,2401
11/7/2020,159,32,2676,1488
11/8/2020,140,38,2094,1380
11/9/2020,523,34,1521,4082
11/10/2020,406,31,2582,3411
11/11/2020,431,40,3119,3032
11/12/2020,480,37,2893,3232
11/13/2020,474,39,1779,3434
11/14/2020,203,34,3885,1794
11/15/2020,215,35,3117,1516
11/16/2020,684,37,1972,4669
11/17/2020,539,39,3288,4064
11/18/2020,494,35,3367,3504
11/19/2020,498,37,4296,3451
11/20/2020,456,42,3688,3347
11/21/2020,272,39,3415,1794
11/22/2020,252,49,4514,1472
11/23/2020,883,35,2419,5042
11/24/2020,665,33,3100,4155
11/25/2020,671,37,4212,3931
11/26/2020,99,42,4174,668
11/27/2020,528,44,3834,3395
11/28/2020,415,48,3444,2660
11/29/2020,333,35,3820,2373
11/30/2020,1148,37,2734,7300
12/1/2020,956,38,2883,6314
12/2/2020,851,41,4199,5748
12/3/2020,757,44,5637,5493
12/4/2020,867,49,5303,5268
12/5/2020,452,50,6018,3028
12/6/2020,387,50,6438,2153
12/7/2020,1217,50,4372,7227
12/8/2020,849,58,4670,6100
12/9/2020,960,66,6495,5706
12/10/2020,1049,65,5556,5614
12/11/2020,979,69,7540,5632
12/12/2020,523,80,6153,3085
12/13/2020,523,57,6819,2559
12/14/2020,1507,79,4770,7527
12/15/2020,1152,68,5236,6742
12/16/2020,1058,82,5273,5473
12/17/2020,1185,67,5786,6328
12/18/2020,1137,70,8444,5821
12/19/2020,674,64,6164,3174
12/20/2020,619,65,6900,2381
12/21/2020,1686,75,4479,7691
12/22/2020,1291,78,5255,5698
12/23/2020,1313,63,5609,5944
12/24/2020,697,74,7703,3456
12/25/2020,241,73,6345,732
12/26/2020,993,71,5371,3937
12/27/2020,840,80,2898,3391
12/28/2020,2117,103,3888,10149
12/29/2020,2015,83,3563,9157
12/30/2020,1822,94,8551,8855
12/31/2020,1541,79,6715,7513
1/1/2021,726,116,9527,2702
1/2/2021,1374,83,9365,5442
1/3/2021,1168,80,6487,3979
1/4/2021,2764,127,5187,12436
1/5/2021,2032,92,5285,9723
1/6/2021,1763,102,6952,8494
1/7/2021,1752,98,10398,7743
1/8/2021,1332,94,10028,6130
1/9/2021,872,92,11581,3872
1/10/2021,798,91,8833,3146
1/11/2021,2074,111,5936,8809
1/12/2021,1414,104,6851,7128
1/13/2021,1310,93,5098,6609
1/14/2021,1333,98,9853,6288
1/15/2021,1201,127,8914,5622
1/16/2021,654,100,7986,3293
1/17/2021,649,83,6811,2575
1/18/2021,1546,108,5802,5925
1/19/2021,1421,121,4058,6216
1/20/2021,1114,110,6415,5565
1/21/2021,1270,95,7187,5115
1/22/2021,1158,91,7436,4948
1/23/2021,670,88,7181,2856
1/24/2021,671,76,6096,2169
1/25/2021,1462,97,4633,6014
1/26/2021,1197,78,3978,4968
1/27/2021,1011,111,5587,4513
1/28/2021,929,84,6490,3975
1/29/2021,946,88,6959,3999
1/30/2021,623,76,6168,2125
1/31/2021,575,84,4899,1591
2/1/2021,1281,88,3776,4848
2/2/2021,966,58,2926,3826
2/3/2021,913,54,12079,3609
2/4/2021,904,68,5495,3348
2/5/2021,768,54,5547,3297
2/6/2021,479,53,4172,1862
2/7/2021,426,66,4674,1439
2/8/2021,1026,57,3084,3893
2/9/2021,802,64,2786,3028
2/10/2021,722,61,3833,2907
2/11/2021,736,36,4568,2614
2/12/2021,693,54,4128,2412
2/13/2021,384,50,4130,1300
2/14/2021,374,41,3170,1121
2/15/2021,829,45,2458,2892
2/16/2021,713,40,1988,2486
2/17/2021,660,42,3167,2271
2/18/2021,538,31,3916,1616
2/19/2021,565,28,3227,2127
2/20/2021,374,33,3446,1196
2/21/2021,359,38,2541,968
2/22/2021,786,26,2133,2454
2/23/2021,507,39,1514,2011
2/24/2021,495,28,3346,1776
2/25/2021,554,30,3351,1558
2/26/2021,428,27,2924,1475
2/27/2021,285,21,2643,911
2/28/2021,251,21,2156,735
3/1/2021,612,21,1466,1940
3/2/2021,532,20,1239,1588
3/3/2021,507,21,2145,1409
3/4/2021,467,17,2502,1231
3/5/2021,453,16,2093,1166
3/6/2021,285,21,2027,695
3/7/2021,308,11,1502,582
3/8/2021,582,17,1228,1666
3/9/2021,434,21,997,1192
3/10/2021,485,18,1861,1363
3/11/2021,461,10,2061,1173
3/12/2021,464,14,1998,1207
3/13/2021,335,13,892,800
3/14/2021,309,13,2166,679
3/15/2021,591,9,1337,1661
3/16/2021,465,11,1093,1357
3/17/2021,459,14,1999,1542
3/18/2021,474,18,2004,1132
3/19/2021,406,17,1915,1286
3/20/2021,286,15,2034,762
3/21/2021,266,9,1591,714
3/22/2021,623,9,1248,1761
3/23/2021,560,14,1062,1461
3/24/2021,516,10,2098,1541
3/25/2021,572,7,2112,1390
3/26/2021,495,12,2154,1267
3/27/2021,344,12,2250,763
3/28/2021,275,10,1683,725
3/29/2021,583,9,1372,1707
3/30/2021,518,19,1370,1426
3/31/2021,496,9,1929,1464
4/1/2021,451,11,2027,1369
4/2/2021,414,10,2076,965
4/3/2021,300,14,1889,733
4/4/2021,86,8,1382,603
4/5/2021,573,10,1054,1672
4/6/2021,552,3,870,1573
4/7/2021,548,16,1380,1585
4/8/2021,551,8,2087,1479
4/9/2021,512,10,2509,1542
4/10/2021,327,14,2248,875
4/11/2021,397,12,1938,858
4/12/2021,735,11,1469,2060
4/13/2021,595,8,1364,1845
4/14/2021,541,3,2359,1806
4/15/2021,466,9,2434,1663
4/16/2021,515,16,2475,1464
4/17/2021,311,13,2338,849
4/18/2021,307,10,1955,774
4/19/2021,633,13,1380,1922
4/20/2021,517,10,1200,1607
4/21/2021,498,13,1963,1613
4/22/2021,462,14,2236,1331
4/23/2021,390,9,2167,1244
4/24/2021,271,14,2578,768
4/25/2021,268,10,1779,728
4/26/2021,607,9,1334,1743
4/27/2021,500,15,1148,1494
4/28/2021,468,9,1765,1355
4/29/2021,449,13,1985,1303
4/30/2021,387,11,2231,1195
5/1/2021,236,6,1823,677
5/2/2021,244,12,1618,638
5/3/2021,494,15,1126,1473
5/4/2021,402,16,981,1230
5/5/2021,398,14,1468,1225
5/6/2021,332,8,1798,1143
5/7/2021,288,14,1932,966
5/8/2021,210,14,1484,504
5/9/2021,186,5,1295,415
5/10/2021,388,20,974,1180
5/11/2021,315,11,699,935
5/12/2021,283,8,1493,833
5/13/2021,239,15,1394,804
5/14/2021,258,11,1501,746
5/15/2021,143,14,1066,413
5/16/2021,149,17,864,371
5/17/2021,318,9,688,938
5/18/2021,230,13,622,805
5/19/2021,236,16,969,718
5/20/2021,237,14,1187,707
5/21/2021,187,10,1020,565
5/22/2021,110,7,1020,345
5/23/2021,131,8,821,314
5/24/2021,262,8,581,714
5/25/2021,212,13,525,625
5/26/2021,186,7,866,498
5/27/2021,154,5,849,479
5/28/2021,161,8,738,424
5/29/2021,86,6,747,227
5/30/2021,97,6,626,193
5/31/2021,48,10,448,177
6/1/2021,237,8,268,596
6/2/2021,156,12,265,403
6/3/2021,176,5,481,347
6/4/2021,128,5,680,353
6/5/2021,88,6,501,220
6/6/2021,65,9,437,179
6/7/2021,142,5,359,369
6/8/2021,120,,299,346
6/9/2021,138,11,544,309
6/10/2021,129,8,464,313
6/11/2021,96,6,425,268
6/12/2021,54,1,559,175
6/13/2021,71,6,385,172
6/14/2021,146,7,284,377
6/15/2021,124,2,272,311
6/16/2021,137,5,333,350
6/17/2021,113,3,362,277
6/18/2021,113,3,220,272
6/19/2021,62,2,297,172
6/20/2021,52,6,241,153
6/21/2021,163,3,238,322
6/22/2021,114,4,211,286
6/23/2021,127,1,461,299
6/24/2021,105,9,394,273
6/25/2021,104,8,388,310
6/26/2021,69,1,55,184
6/27/2021,70,3,515,174
6/28/2021,153,2,294,389
6/29/2021,131,3,274,369
6/30/2021,145,3,208,311
7/1/2021,143,4,296,372
7/2/2021,147,3,374,333
7/3/2021,92,2,429,267
7/4/2021,33,1,453,159
7/5/2021,180,2,375,371
7/6/2021,250,5,231,488